Event	ID	Name			Wwise Object Path	Notes
	152670193	startKnockingEvent			\Enviroment\startKnockingEvent	
	431971085	Play_Keypad_Error			\Enviroment\Play_Keypad_Error	
	511968160	Play_Light_OnOff_Event			\Enviroment\Play_Light_OnOff_Event	
	842992288	Door_SFX_Event			\Enviroment\Door_SFX_Event	
	967859696	Horror_Ambience			\Enviroment\Horror_Ambience	
	1093999139	Play_RainAndThunder			\Enviroment\Play_RainAndThunder	
	1188660949	Play_DoorSlamOpen			\Enviroment\Play_DoorSlamOpen	
	1445251746	Play_ClickButton			\Enviroment\Play_ClickButton	
	1510976581	Flashlight_OnOff_Event			\Enviroment\Flashlight_OnOff_Event	
	1755859644	Play_EndingMusic			\Music\Play_EndingMusic	
	1856817241	Stop_Knocking_Event			\Enviroment\Stop_Knocking_Event	
	2196500881	Stop_Eyes_Closed			\Enviroment\Stop_Eyes_Closed	
	2660246561	Play_Keypad_Correct			\Enviroment\Play_Keypad_Correct	
	2797432074	Stop_Light_OnOff_Event			\Enviroment\Stop_Light_OnOff_Event	
	2870446976	Play_WomanAmbience			\Enviroment\Play_WomanAmbience	
	3074142683	Play_Eyes_Closed			\Enviroment\Play_Eyes_Closed	
	3483129277	Enter_Reverb_Zone			\Enviroment\Enter_Reverb_Zone	
	3582431873	Play_IntroMusic			\Music\Play_IntroMusic	

Switch Group	ID	Name			Wwise Object Path	Notes
	83357616	WomanState			\Default Work Unit\WomanState	
	423758775	FlashlightSwitch			\Default Work Unit\FlashlightSwitch	
	1504742439	LightSwitch			\Default Work Unit\LightSwitch	
	2168380830	DoorSFXSwitch			\Default Work Unit\DoorSFXSwitch	

Switch	ID	Name	Switch Group			Notes
	1874288895	Idle	WomanState			
	3782157712	HitDoor	WomanState			
	930712164	Off	FlashlightSwitch			
	1651971902	On	FlashlightSwitch			
	930712164	Off	LightSwitch			
	1558276990	Flick	LightSwitch			
	1651971902	On	LightSwitch			
	136945955	Locked	DoorSFXSwitch			
	3012222945	Closed	DoorSFXSwitch			
	3072142513	Open	DoorSFXSwitch			

Game Parameter	ID	Name			Wwise Object Path	Notes
	191147360	RTPC_LightState			\Default Work Unit\RTPC_LightState	
	1863449742	RTPC_DoorState			\Default Work Unit\RTPC_DoorState	
	2692556666	RTPC_KnockingIntensity			\Default Work Unit\RTPC_KnockingIntensity	
	3666827266	RTPC_WomanState			\Default Work Unit\RTPC_WomanState	

Effect plug-ins	ID	Name	Type				Notes
	863344862	Time Stretch (Custom)	Wwise Time Stretch			
	1008402193	Low_Pass_20KHz	Wwise Parametric EQ			
	1514749290	LowPassHeartBeat	Wwise Parametric EQ			
	1990128658	Room_Medium	Wwise RoomVerb			
	2995775460	Room_Small	Wwise RoomVerb			

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	2028515	KS_Rain On Surfaces_2	Y:\Documents\GitHub\P3-Gruppe-6\P3-Gruppe-6_WwiseProject\.cache\Windows\SFX\KS_Rain On Surfaces_2_0D5EE4C7.wem		\Actor-Mixer Hierarchy\Enviroment\Outdoor\KS_Rain On Surfaces_2		6726464
	13641386	Female Scream Intense 03	Y:\Documents\GitHub\P3-Gruppe-6\P3-Gruppe-6_WwiseProject\.cache\Windows\SFX\Female Scream Intense 03_818F3B66.wem		\Actor-Mixer Hierarchy\Enviroment\HorrorAmbience\WomanAmbience\Female Scream Intense 03		713412
	27212775	Light_Flick_Sweetener	Y:\Documents\GitHub\P3-Gruppe-6\P3-Gruppe-6_WwiseProject\.cache\Windows\SFX\Fluorescent Light Buzz Soft_47C90923.wem		\Actor-Mixer Hierarchy\Enviroment\LightSwitch\Light_Flick_Sweetener		9250628
	41071332	WomanCrying	Y:\Documents\GitHub\P3-Gruppe-6\P3-Gruppe-6_WwiseProject\.cache\Windows\SFX\Distant Crying Sound Effect_FBC78EF0.wem		\Actor-Mixer Hierarchy\Enviroment\HorrorAmbience\WomanAmbience\WomanCrying		7303608
	48546062	Distant Thunder No Rain	Y:\Documents\GitHub\P3-Gruppe-6\P3-Gruppe-6_WwiseProject\.cache\Windows\SFX\Distant Thunder No Rain_818F3B66.wem		\Actor-Mixer Hierarchy\Enviroment\Outdoor\ThunderAmbience\Distant Thunder No Rain		3522756
	139150290	DoorClose	Y:\Documents\GitHub\P3-Gruppe-6\P3-Gruppe-6_WwiseProject\.cache\Windows\SFX\KS_Bedroom Door_2_818F3B66.wem		\Actor-Mixer Hierarchy\Enviroment\DoorSounds\DoorClose		297056
	161921007	HighKnock_7	Y:\Documents\GitHub\P3-Gruppe-6\P3-Gruppe-6_WwiseProject\.cache\Windows\SFX\Hard With Fist_E9E08B95.wem		\Actor-Mixer Hierarchy\Enviroment\MonsterKnock\HighKnock\HighKnock_7		331144
